Date,Time,Open,High,Low,Close,Volume
10/19/2022,10:27 AM,371.405,371.62,371.12,371.28,518846
10/19/2022,10:30 AM,371.28,371.83,371.235,371.58,560250
10/19/2022,10:33 AM,371.59,371.85,371.05,371.12,654808
10/19/2022,10:36 AM,371.12,371.1701,370.76,370.85,452278
10/19/2022,10:39 AM,370.86,371.17,370.75,371.11,305909
10/19/2022,10:42 AM,371.1,371.27,370.42,370.47,392156
10/19/2022,10:45 AM,370.4812,370.675,370.2,370.56,247228
10/19/2022,10:48 AM,370.5699,370.73,370.3903,370.59,209053
10/19/2022,10:51 AM,370.58,370.79,370.07,370.28,375957
10/19/2022,10:54 AM,370.3,370.41,369.73,370.01,351978
10/19/2022,10:57 AM,370,370.0695,369.301,369.46,333222
10/19/2022,11:00 AM,369.47,369.77,369.35,369.68,397443
10/19/2022,11:03 AM,369.68,370.02,369.43,369.43,413529
10/19/2022,11:06 AM,369.44,369.7,369.205,369.63,394993
10/19/2022,11:09 AM,369.64,370.05,369.45,369.81,348676
10/19/2022,11:12 AM,369.81,370.52,369.72,370.52,352927
10/19/2022,11:15 AM,370.53,370.58,370.09,370.23,281492
10/19/2022,11:18 AM,370.2378,370.52,370.12,370.21,235082
10/19/2022,11:21 AM,370.21,370.74,370.15,370.15,268565
10/19/2022,11:24 AM,370.155,370.35,369.97,370.075,385092
10/19/2022,11:27 AM,370.07,370.15,369.38,369.505,365162
10/19/2022,11:30 AM,369.51,369.6498,369.32,369.5316,256237
10/19/2022,11:33 AM,369.55,369.78,369.07,369.46,567091
10/19/2022,11:36 AM,369.45,369.515,368.72,368.9497,249312
10/19/2022,11:39 AM,368.93,369.645,368.67,369.61,404058
10/19/2022,11:42 AM,369.62,369.85,369.54,369.58,331935
10/19/2022,11:45 AM,369.57,369.65,369.181,369.37,268290
10/19/2022,11:48 AM,369.42,369.82,369.3417,369.81,276543
10/19/2022,11:51 AM,369.82,369.93,369.6001,369.69,198819
10/19/2022,11:54 AM,369.71,370.35,369.7,370.12,294907
10/19/2022,11:57 AM,370.11,370.31,370.06,370.135,206779
10/19/2022,12:00 PM,370.13,370.13,369.7,369.73,317483
10/19/2022,12:03 PM,369.73,369.82,369.1,369.2104,437366
10/19/2022,12:06 PM,369.21,369.475,368.95,368.96,362907
10/19/2022,12:09 PM,368.94,369.14,368.52,368.58,304231
10/19/2022,12:12 PM,368.62,368.97,368.44,368.63,379733
10/19/2022,12:15 PM,368.625,369,368.59,368.7,269775
10/19/2022,12:18 PM,368.71,368.89,368.47,368.65,191860
10/19/2022,12:21 PM,368.64,368.99,368.62,368.85,270533
10/19/2022,12:24 PM,368.85,368.945,368.52,368.8225,175460
10/19/2022,12:27 PM,368.82,368.83,368.09,368.21,285816
10/19/2022,12:30 PM,368.21,368.41,368,368.2,353597
10/19/2022,12:33 PM,368.2,368.74,368.11,368.61,386184
10/19/2022,12:36 PM,368.62,368.7785,368.5176,368.7,219246
10/19/2022,12:39 PM,368.71,368.9211,368.415,368.54,225912
10/19/2022,12:42 PM,368.5138,368.655,367.77,367.8874,429803
10/19/2022,12:45 PM,367.88,367.94,367.56,367.68,408831
10/19/2022,12:48 PM,367.6706,367.685,366.95,367.1853,743156
10/19/2022,12:51 PM,367.18,367.36,366.865,367.35,624072
10/19/2022,12:54 PM,367.34,367.51,367.1601,367.275,464603
10/19/2022,12:57 PM,367.28,367.41,367.01,367.09,444618
10/19/2022,1:00 PM,367.08,367.34,366.97,367.25,257693
10/19/2022,1:03 PM,367.23,367.48,366.32,366.39,668648
10/19/2022,1:06 PM,366.42,366.61,365.55,365.711,961283
10/19/2022,1:09 PM,365.69,366.36,365.57,366.02,744488
10/19/2022,1:12 PM,366.02,366.38,365.93,366.14,535696
10/19/2022,1:15 PM,366.155,366.35,366.11,366.21,334499
10/19/2022,1:18 PM,366.1915,366.46,365.97,366.1,390253
10/19/2022,1:21 PM,366.11,366.63,366.05,366.39,354911
10/19/2022,1:24 PM,366.4,366.7,366.2324,366.3,496871
10/19/2022,1:27 PM,366.28,367.13,366.25,367.13,376696
10/19/2022,1:30 PM,367.15,367.16,366.53,366.61,435319
10/19/2022,1:33 PM,366.59,366.9099,366.42,366.73,285194
10/19/2022,1:36 PM,366.74,366.94,366.57,366.79,272104
10/19/2022,1:39 PM,366.79,366.79,366.2101,366.3,425543
10/19/2022,1:42 PM,366.31,366.59,366.1,366.4512,296044
10/19/2022,1:45 PM,366.46,366.8,366.45,366.745,262965
10/19/2022,1:48 PM,366.74,366.87,366.37,366.38,188030
10/19/2022,1:51 PM,366.39,366.57,366.07,366.095,193893
10/19/2022,1:54 PM,366.1,366.6,366.1,366.6,185116
10/19/2022,1:57 PM,366.595,366.855,366.38,366.47,231209
10/19/2022,2:00 PM,366.46,367,366.385,366.9301,199657
10/19/2022,2:03 PM,366.931,367.15,366.58,367.0601,322909
10/19/2022,2:06 PM,367.06,367.74,366.99,367.3112,752086
10/19/2022,2:09 PM,367.32,368.11,367.31,368.01,413626
10/19/2022,2:12 PM,368.02,368.095,367.58,367.9,416705
10/19/2022,2:15 PM,367.91,368.08,367.74,368.02,273240
10/19/2022,2:18 PM,368.05,368.32,367.89,368.18,442575
10/19/2022,2:21 PM,368.185,368.47,367.711,367.755,669048
10/19/2022,2:24 PM,367.75,367.875,367.62,367.705,324056
10/19/2022,2:27 PM,367.71,368.19,367.69,367.805,265522
10/19/2022,2:30 PM,367.8,368.13,367.69,368.12,190758
10/19/2022,2:33 PM,368.12,368.32,367.7701,368.275,273071
10/19/2022,2:36 PM,368.275,368.29,367.98,368.13,217731
10/19/2022,2:39 PM,368.15,368.16,367.7327,367.83,238829
10/19/2022,2:42 PM,367.83,367.93,367.4,367.6,335528
10/19/2022,2:45 PM,367.59,367.98,367.44,367.4558,283780
10/19/2022,2:48 PM,367.44,367.6,367.25,367.4193,294567
10/19/2022,2:51 PM,367.41,367.67,367.175,367.295,264927
10/19/2022,2:54 PM,367.28,367.33,367.14,367.15,154003
10/19/2022,2:57 PM,367.15,367.44,367.06,367.26,279309
10/19/2022,3:00 PM,367.27,367.2966,367.06,367.19,249099
